APOGEE_ID,TARGET_ID,MJD,SNR,STARFLAG,STARFLAGS,DATEOBS,JD,VRELERR,VHELIO
2M10022398+0216045,2M10022398+0216045,58872,219008,0,,2020-01-24T07:36:57.951,2458872.83396,0.03314752266464911,96.30348506413776
2M10022398+0216045,2M10022398+0216045,58867,347334,0,,2020-01-19T07:53:39.889,2458867.86263,0.021112031167678943,96.28838420495339
