APOGEE_ID,TARGET_ID,MJD,SNR,STARFLAG,STARFLAGS,DATEOBS,JD,VRELERR,VHELIO
2M11173689+0645217,2M11173689+0645217,56726,228786,512,PERSIST_HIGH,2014-03-10T06:14:49.553,2456726.78356,0.029957628584309073,3.8527298447298097
2M11173689+0645217,2M11173689+0645217,56674,306188,512,PERSIST_HIGH,2014-01-17T08:56:32.934,2456674.90751,0.022325131369116537,3.9700087621677476
2M11173689+0645217,2M11173689+0645217,56706,267369,512,PERSIST_HIGH,2014-02-18T07:39:00.544,2456706.84202,0.025284236603081763,3.777594817344439
