col1,SoS,Name,GaiaDR2,RAdeg,DEdeg,RVcor,e_RVcor,s_RVcor,N,flagXM,flagRV,flagBinary,teff,e_teff,logg,e_logg,[Fe/H],e_[Fe/H]
2504584997269760128,419814,J015753.0-031651,2504584997269760128,29.47084,-3.2808387,149.552,1.932,0.0,1.0,,1.0,,4635.3,83.7,2.183,0.132,-0.236,0.172
4762908900638502912,1006726,J051206.3-591344,4762908900638502912,78.026344,-59.22883,51.351,0.53,0.0,1.0,,1.0,,4794.4,102.2,2.415,0.079,-0.28,0.143
2447417402012533632,954961,J235131.7-031231,2447417402012533632,357.8821,-3.2085843,-70.385,0.559,0.0,1.0,,1.0,,4115.4,79.9,1.144,0.217,-0.863,0.115
5499230534722384000,986845,J060403.9-560007,5499230534722384000,91.01634,-56.001713,97.047,0.778,0.0,1.0,,0.0,,4954.6,65.9,2.463,0.116,-0.339,0.102
