col1,SoS,Name,GaiaDR2,RAdeg,DEdeg,RVcor,e_RVcor,s_RVcor,N,flagXM,flagRV,flagBinary,Teff,e_Teff,logg,e_logg,[Fe/H],e_[Fe/H]
2M01575297-0316508,419814,2M01575297-0316508,2504584997269760128,29.47084,-3.2808387,143.765,0.052,7.841,2.0,,0.0,,4737.0,89.4,1.982,0.073,-0.761,0.01
2M11173689+0645217,237886,2M11173689+0645217,3817650572325034240,169.4038,6.756112,3.922,0.047,0.0,1.0,,0.0,,5031.9,94.9,2.753,0.072,-0.412,0.009
2M18461977-3021506,169098,2M18461977-3021506,6737314609413011712,281.58237,-30.364141,-225.934,0.034,0.0,1.0,,0.0,,4302.5,80.1,1.485,0.07,-0.993,0.012
2M22045404-1148287,203064,2M22045404-1148287,2613467159867601152,331.22516,-11.808004,-172.678,0.064,0.0,1.0,,0.0,,4577.9,89.4,1.644,0.081,-1.341,0.013
