APOGEE_ID,TARGET_ID,MJD,SNR,STARFLAG,STARFLAGS,DATEOBS,JD,VRELERR,VHELIO
2M22045404-1148287,2M22045404-1148287,58028,203666,16777216,MTPFLUX_LT_75,2017-10-02T02:08:51.929,2458028.60697,0.038869997672515,-172.47619665814133
2M22045404-1148287,2M22045404-1148287,58026,268.0,16777216,MTPFLUX_LT_75,2017-09-30T01:31:58.219,2458026.58717,0.02970276782399881,-172.43772300377037
2M22045404-1148287,2M22045404-1148287,58052,202334,0,,2017-10-25T23:55:35.945,2458052.5144,0.03662662587765766,-172.2385811550528
