TYC5805-233-1	2459825.64358925	-166.8729	0.0610	32
TYC5805-233-1	2459825.66484177	-166.8701	0.0598	29
TYC5805-233-1	2459825.68592040	-166.9451	0.0434	31
TYC5805-233-1	2459825.71931534	-166.6526	0.0240	36
TYC5805-233-1	2459826.60336010	-166.6802	0.0275	37
TYC5805-233-1	2459826.72119296	-166.6016	0.0176	48
TYC5805-233-1	2459829.70890931	-166.5698	0.0301	29
TYC5805-233-1	2459836.70579835	-166.5935	0.0387	24
TYC5805-233-1	2459852.56349102	-166.3089	0.0208	39
TYC5805-233-1	2459853.53361871	-166.3548	0.0231	41
TYC5805-233-1	2459853.55471052	-166.3921	0.0213	39
TYC5805-233-1	2459854.60949082	-166.2849	0.0281	31
TYC5805-233-1	2459854.63088883	-166.2065	0.0279	29
TYC5805-233-1	2459857.53358159	-166.2173	0.0444	31
TYC5805-233-1	2459864.63584672	-166.3046	0.0164	43
TYC5805-233-1	2459866.55158725	-166.3313	0.0166	44
TYC5805-233-1	2459866.58975755	-166.2620	0.0159	41
TYC5805-233-1	2459874.65420166	-166.4578	0.0332	26
TYC5805-233-1	2459888.60527980	-166.5163	0.0425	27
